Airport__Name,Aircraft__Make_Model,Effect__Amount_of_damage,Aircraft__Airline_Operator,Origin_State,When__Phase_of_flight,Wildlife__Size,Wildlife__Species,When__Time_of_day,Cost__Other,Cost__Repair,Cost__Total,Speed_IAS_in_knots
GREATER PITTSBURGH,DC-9,None,US AIRWAYS*,Pennsylvania,Landing Roll,Small,European starling,Day,0,0,0,100
CLEVELAND-HOPKINS INTL ARPT,B-727-200,None,NORTHWEST AIRLINES,Ohio,Take-off run,Small,Unknown bird - small,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,FOKKER F28 MK 1000,Minor,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Day,0,0,0,
JOHN F KENNEDY INTL,A-320,None,BUSINESS,New York,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
DENVER INTL AIRPORT,A-319,None,AIR CANADA,Colorado,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
PORTLAND INTL (OR),DHC8 DASH 8,None,HORIZON AIR,Oregon,Landing Roll,Small,American kestrel,Dusk,0,0,0,
PORTLAND INTL (OR),B-727,None,NORTHWEST AIRLINES,Oregon,Take-off run,Medium,Red-tailed hawk,Day,0,0,0,110
KANSAS CITY INTL,B-727,None,DELTA AIR LINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,135
NEWARK LIBERTY INTL ARPT,MD-80,None,CONTINENTAL AIRLINES,New Jersey,Approach,Small,Rock pigeon,Day,0,0,0,130
FORT LAUDERDALE/HOLLYWOOD INTL,B-737-200,None,US AIRWAYS*,Florida,Approach,Small,Unknown bird - small,Dusk,0,0,0,150
LOUISVILLE INTL ARPT,B-727-100,None,FEDEX EXPRESS,Kentucky,Descent,Small,Unknown bird - small,Night,0,0,0,175
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-757-200,Minor,DELTA AIR LINES,Kentucky,Landing Roll,Large,Unknown bird - large,Day,22718,17373,40091,130
LOUISVILLE INTL ARPT,B-727-100,None,FEDEX EXPRESS,Kentucky,Descent,Large,Unknown bird - large,Night,0,0,0,240
DENVER INTL AIRPORT,BE-1900,Minor,GREAT LAKES AIRLINES,Colorado,Climb,Medium,Unknown bird - medium,Day,0,0,0,140
NEWARK LIBERTY INTL ARPT,B-737-800,None,CONTINENTAL AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Day,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,B-737-300,None,US AIRWAYS*,North Carolina,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,120
AUSTIN-BERGSTROM INTL,B-737,None,SOUTHWEST AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
MINNEAPOLIS-ST PAUL INTL,FOKKER F100,None,AMERICAN AIRLINES,Minnesota,Approach,Small,Unknown bird - small,Day,0,0,0,140
CHICAGO O'HARE INTL ARPT,EMB-145,None,AMERICAN EAGLE AIRLINES,Illinois,Climb,Small,Unknown bird - small,Day,0,0,0,
KANSAS CITY INTL,B-737-300,None,FRONTIER AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,140
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,MD-88,Minor,DELTA AIR LINES,Kentucky,Climb,Large,Unknown bird - large,Dusk,0,0,0,180
DENVER INTL AIRPORT,B-737-200,None,FRONTIER AIRLINES,Colorado,Climb,Large,Unknown bird - large,Night,0,0,0,210
LAMBERT-ST LOUIS INTL,B-757-200,None,TRANS WORLD AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,135
MEMPHIS INTL,A-300,None,FEDEX EXPRESS,Tennessee,Descent,Small,Unknown bird - small,Day,0,0,0,250
