Airport__Name,Aircraft__Make_Model,Effect__Amount_of_damage,Aircraft__Airline_Operator,Origin_State,When__Phase_of_flight,Wildlife__Size,Wildlife__Species,When__Time_of_day,Cost__Other,Cost__Repair,Cost__Total,Speed_IAS_in_knots
BARKSDALE AIR FORCE BASE ARPT,T-38A,None,MILITARY,Louisiana,Climb,Large,Turkey vulture,Day,0,0,0,300
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,200
BARKSDALE AIR FORCE BASE ARPT,B-52,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,130
NEW ORLEANS INTL,B-737-300,Substantial,SOUTHWEST AIRLINES,Louisiana,Take-off run,Small,Rock pigeon,Day,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,160
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Dusk,0,0,0,140
WASHINGTON DULLES INTL ARPT,B-727,None,FEDEX EXPRESS,DC,Approach,Large,Unknown bird - large,Night,0,0,0,190
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,B-52,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,130
WASHINGTON DULLES INTL ARPT,BA-146,Medium,AIR WISCONSIN AIRLINES,DC,Climb,Large,Unknown bird - large,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,B-52,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,150
RONALD REAGAN WASHINGTON NATL,C-141B,None,MILITARY,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,200
CHARLESTON AFB/INTL ARPT,C-141B,None,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,190
BARKSDALE AIR FORCE BASE ARPT,B-52,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,150
BARKSDALE AIR FORCE BASE ARPT,A-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,4175,4175,250
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,150
LAMBERT-ST LOUIS INTL,SA227 AC METRO III,Minor,TRANS STATES AIRLINES,Missouri,Climb,Small,European starling,Day,0,0,0,160
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,135
LAGUARDIA NY,B-737-400,Substantial,US AIRWAYS*,New York,Take-off run,Large,Canada goose,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,120
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,210
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Dawn,0,0,0,150
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,KC-135,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,140
NEW ORLEANS INTL,B-727,None,AMERICAN AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,235
CHARLOTTE/DOUGLAS INTL ARPT,BE-58  BARON,None,UNKNOWN,North Carolina,Approach,Medium,Unknown bird - medium,Day,0,0,0,105
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dawn,0,0,0,190
CHARLESTON AFB/INTL ARPT,C-141B,None,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,160
CHARLESTON AFB/INTL ARPT,C-141B,None,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,200
BARKSDALE AIR FORCE BASE ARPT,B-52,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,170
BARKSDALE AIR FORCE BASE ARPT,KC-135,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,180
LOS ANGELES INTL,B-737-300,None,US AIRWAYS*,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,230
CHICAGO O'HARE INTL ARPT,B-727,None,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,
PORTLAND INTL (OR),B-727,None,AMERICAN AIRLINES,Oregon,Approach,Medium,Unknown bird - medium,Night,0,0,0,127
WASHINGTON DULLES INTL ARPT,B-727,Medium,AMERICAN AIRLINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,250
FORT LAUDERDALE/HOLLYWOOD INTL,B-737-400,Substantial,US AIRWAYS*,Florida,Take-off run,Small,Unknown bird - small,Day,0,0,0,140
CHICAGO O'HARE INTL ARPT,B-727,None,UNITED AIRLINES,Illinois,Climb,Large,White-tailed deer,Night,0,0,0,120
HOUSTON-HOBBY,B-737-500,None,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,124
CHICAGO O'HARE INTL ARPT,B-767-200,None,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,130
SAN ANTONIO INTL,B-737-200,None,SOUTHWEST AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,320
SACRAMENTO INTL,MD-80,None,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,260
WILL ROGERS WORLD ARPT,B-727-200,None,AMERICAN AIRLINES,Oklahoma,Approach,Small,Unknown bird - small,Day,0,0,0,150
ATLANTA INTL,B-767,None,DELTA AIR LINES,Georgia,Approach,Small,Unknown bird - small,Night,0,0,0,180
INDIANAPOLIS INTL,BE-90  KING,Minor,BUSINESS,Indiana,Descent,Medium,Unknown bird - medium,Day,0,0,0,160
DALLAS/FORT WORTH INTL ARPT,MD-80,None,AMERICAN AIRLINES,Texas,Descent,Medium,Unknown bird - medium,Day,0,0,0,240
KANSAS CITY INTL,E-4B,None,MILITARY,Missouri,Approach,Medium,Unknown bird - medium,Night,0,0,0,180
MINETA SAN JOSE INTL,MD-80,None,AMERICAN AIRLINES,California,Take-off run,Small,American robin,Day,0,0,0,135
METRO OAKLAND INTL,MD-82,None,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,135
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,220
CHICAGO O'HARE INTL ARPT,MD-82,None,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Night,0,0,0,250
NASHVILLE INTL,B-727,None,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,160
NASHVILLE INTL,MD-80,None,AMERICAN AIRLINES,Tennessee,Climb,Small,European starling,Day,0,0,0,160
MINNEAPOLIS-ST PAUL INTL,DC-9,None,AMERICAN AIRLINES,Minnesota,Landing Roll,Small,American robin,Day,0,0,0,100
PORTLAND INTL (OR),MD-80,None,AMERICAN AIRLINES,Oregon,Descent,Medium,Unknown bird - medium,Night,0,0,0,200
LAMBERT-ST LOUIS INTL,MD-80,None,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,140
CHICAGO O'HARE INTL ARPT,KC-135E,None,MILITARY,Illinois,Take-off run,Large,Coyote,Day,0,0,0,150
CHICAGO O'HARE INTL ARPT,C-130,None,MILITARY,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,120
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,AMERICAN AIRLINES,Texas,Landing Roll,Medium,American crow,Day,0,0,0,135
SALT LAKE CITY INTL,KC-135E,None,MILITARY,Utah,Landing Roll,Small,Common nighthawk,Day,0,0,0,150
HONOLULU INTL ARPT,B-737,None,ALOHA AIRLINES,Hawaii,Landing Roll,Large,Unknown bird - large,Day,0,0,0,70
AUSTIN-BERGSTROM INTL,B-737-200,None,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,B-727,None,AMERICAN AIRLINES,Texas,Approach,Small,American robin,Night,0,0,0,122
LAMBERT-ST LOUIS INTL,MD-80,None,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,140
RONALD REAGAN WASHINGTON NATL,B-757-200,None,AMERICAN AIRLINES,DC,Approach,Small,Unknown bird - small,Night,0,0,0,120
SACRAMENTO INTL,B-737-300,None,UNITED AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,140
CHICAGO O'HARE INTL ARPT,B-727-200,None,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Night,0,0,0,140
SAN FRANCISCO INTL ARPT,B-767,None,DELTA AIR LINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,150
CHARLESTON AFB/INTL ARPT,C-141B,None,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,250
HOUSTON-HOBBY,B-737-300,None,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,250
LAMBERT-ST LOUIS INTL,L-1011,None,TRANS WORLD AIRLINES,Missouri,Descent,Medium,Unknown bird - medium,Day,0,0,0,160
HOUSTON-HOBBY,B-737,None,SOUTHWEST AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
CLEVELAND-HOPKINS INTL ARPT,EMB-120,None,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Climb,Medium,Unknown bird - medium,Night,0,0,0,180
NASHVILLE INTL,B-727-200,None,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,170
SACRAMENTO INTL,B-737-300,None,UNITED AIRLINES,California,Approach,Medium,Mallard,Day,0,0,0,140
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DC-9-30,None,US AIRWAYS*,Kentucky,Climb,Medium,Unknown bird - medium,Night,0,0,0,180
DALLAS/FORT WORTH INTL ARPT,MD-80,None,AMERICAN AIRLINES,Texas,Approach,Small,American robin,Day,0,0,0,170
LOUISVILLE INTL ARPT,DC-9-10,None,TRANS WORLD AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,130
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,130
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,135
CHICAGO O'HARE INTL ARPT,B-727-200,None,AMERICAN AIRLINES,Illinois,Climb,Small,European starling,Day,0,0,0,160
NEW ORLEANS INTL,B-737-200,None,SOUTHWEST AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,130
LAMBERT-ST LOUIS INTL,GULFAERO IV,None,BUSINESS,Missouri,Landing Roll,Small,European starling,Day,0,0,0,140
LAMBERT-ST LOUIS INTL,B-737-300,None,SOUTHWEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,135
LOUISVILLE INTL ARPT,DC-8,None,UPS AIRLINES,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,120
BARKSDALE AIR FORCE BASE ARPT,B-52,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,146
DALLAS/FORT WORTH INTL ARPT,DC-10,None,AMERICAN AIRLINES,Texas,Landing Roll,Small,European starling,Day,0,0,0,120
DALLAS/FORT WORTH INTL ARPT,MD-80,None,AMERICAN AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,210
WILL ROGERS WORLD ARPT,MD-80,None,AMERICAN AIRLINES,Oklahoma,Climb,Small,Rock pigeon,Day,0,0,0,180
LAMBERT-ST LOUIS INTL,B-737-200,None,SOUTHWEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,210
GREATER PITTSBURGH,A-7,None,MILITARY,Pennsylvania,Landing Roll,Medium,Unknown bird or bat,Day,0,0,0,120
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,200
CHICAGO O'HARE INTL ARPT,MD-80,None,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,210
METRO OAKLAND INTL,B-737-200,None,SOUTHWEST AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,135
NASHVILLE INTL,B-727-200,None,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,136
BALTIMORE WASH INTL,BA-31 JETSTR,None,PSA AIRLINES,Maryland,Take-off run,Small,Unknown bird - small,Day,0,0,0,130
GREATER PITTSBURGH,B-727,None,UNITED AIRLINES,Pennsylvania,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,150
WILL ROGERS WORLD ARPT,B-737-300,None,SOUTHWEST AIRLINES,Oklahoma,Approach,Small,Mourning dove,Day,0,0,0,135
SAN ANTONIO INTL,DC-10-10,None,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,250
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DC-9-30,None,US AIRWAYS*,Kentucky,Landing Roll,Small,American robin,Day,0,0,0,120
NASHVILLE INTL,B-727-100,None,AMERICAN AIRLINES,Tennessee,Landing Roll,Small,American robin,Dusk,0,0,0,85
WILL ROGERS WORLD ARPT,B-737-200,Medium,SOUTHWEST AIRLINES,Oklahoma,Climb,Medium,Unknown bird - medium,Night,0,0,0,180
LOGAN INTL,B-757-200,None,AMERICA WEST AIRLINES,Massachusetts,Approach,Medium,Herring gull,Dawn,48704,0,48704,130
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,130
GREATER PITTSBURGH,MD-80,None,AMERICAN AIRLINES,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,130
SAN FRANCISCO INTL ARPT,DC-8-70,None,UNITED AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140
ORLANDO INTL,MD-80,None,AMERICAN AIRLINES,Florida,Approach,Medium,Unknown bird - medium,Day,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,150
HOUSTON-HOBBY,B-737-300,None,SOUTHWEST AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,250
CLEVELAND-HOPKINS INTL ARPT,B-737,None,CONTINENTAL AIRLINES,Ohio,Landing Roll,Medium,American crow,Day,0,0,0,110
CLEVELAND-HOPKINS INTL ARPT,BA-31 JETSTR,None,PSA AIRLINES,Ohio,Landing Roll,Medium,American crow,Day,0,0,0,100
MINETA SAN JOSE INTL,MD-80,None,AMERICAN AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Dusk,0,0,0,110
PORT COLUMBUS INTL,B-727,None,UNKNOWN,Ohio,Climb,Small,Unknown bird - small,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-135,None,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Night,0,0,0,160
EPPLEY AIRFIELD,MD-87,None,UPS AIRLINES,Nebraska,Approach,Small,Unknown bird - small,Day,0,0,0,140
ATLANTIC CITY INTL,CV-580,None,GOVERNMENT,New Jersey,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,40
CHICAGO O'HARE INTL ARPT,B-727-200,None,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,130
DALLAS/FORT WORTH INTL ARPT,B-727-100,None,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,250
CHICAGO O'HARE INTL ARPT,MD-80,None,AMERICAN AIRLINES,Illinois,Landing Roll,Small,Unknown bird - small,Day,0,0,0,145
DALLAS/FORT WORTH INTL ARPT,MD-80,None,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140
HONOLULU INTL ARPT,DC-10-10,None,AMERICAN AIRLINES,Hawaii,Approach,Medium,Unknown bird - medium,Night,0,0,0,137
GEORGE BUSH INTERCONTINENTAL,B-727-200,None,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140
CHARLOTTE/DOUGLAS INTL ARPT,MD-80,None,US AIRWAYS*,North Carolina,Approach,Small,Unknown bird - small,Day,0,0,0,125
CHARLESTON AFB/INTL ARPT,MD-80,None,AMERICAN AIRLINES,South Carolina,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,100
SACRAMENTO INTL,B-737-200,None,UNITED AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,125
LOUISVILLE INTL ARPT,B-737,None,UNITED AIRLINES,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,140
MINETA SAN JOSE INTL,B-767,Minor,AMERICAN AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140
SALT LAKE CITY INTL,MD-80,None,AMERICAN AIRLINES,Utah,Approach,Medium,Unknown bird - medium,Day,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,None,US AIRWAYS*,North Carolina,Approach,Small,Unknown bird - small,Day,0,0,0,134
CHICAGO O'HARE INTL ARPT,B-727,None,AMERICAN AIRLINES,Illinois,Climb,Small,Unknown bird - small,Day,0,0,0,210
SEATTLE-TACOMA INTL,DC-10,None,NORTHWEST AIRLINES,Washington,Climb,Medium,Unknown bird - medium,Day,0,0,0,200
ATLANTA INTL,B-737,None,UNITED AIRLINES,Georgia,Approach,Medium,Unknown bird - medium,Day,0,0,0,
MEMPHIS INTL,MD-80,None,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Night,0,0,0,130
SALT LAKE CITY INTL,B-727,Minor,DELTA AIR LINES,Utah,Descent,Large,Unknown bird - large,Day,0,0,0,350
ATLANTA INTL,B-767,None,DELTA AIR LINES,Georgia,Landing Roll,Small,European starling,Dawn,0,0,0,130
SAN FRANCISCO INTL ARPT,L-1011,None,TRANS WORLD AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,
CLEVELAND-HOPKINS INTL ARPT,EMB-120,None,BUSINESS,Ohio,Approach,Small,American robin,Day,0,0,0,130
LIHUE ARPT,B-737-300,Substantial,ALOHA AIRLINES,Hawaii,Take-off run,Small,Short-eared owl,Dawn,0,0,0,85
LOS ANGELES INTL,MD-80,None,ALASKA AIRLINES,California,Landing Roll,Small,American kestrel,Day,0,0,0,125
GREATER PITTSBURGH,MD-80,None,AMERICAN AIRLINES,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,160
NASHVILLE INTL,MD-80,None,AMERICAN AIRLINES,Tennessee,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,120
METRO OAKLAND INTL,BA-146-200,Minor,US AIRWAYS*,California,Climb,Large,Canada goose,Dusk,0,0,0,130
KANSAS CITY INTL,MD-80,None,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,140
ATLANTIC CITY INTL,B-727,None,BUSINESS,New Jersey,Climb,Small,Laughing gull,Day,0,0,0,120
ATLANTIC CITY INTL,FOKKER F100,None,US AIRWAYS*,New Jersey,Climb,Small,Laughing gull,Day,0,0,0,120
DALLAS/FORT WORTH INTL ARPT,MD-82,None,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,130
ATLANTIC CITY INTL,B-727,None,BUSINESS,New Jersey,Take-off run,Small,Laughing gull,Day,0,0,0,
GREATER PITTSBURGH,MD-80,None,AMERICAN AIRLINES,Pennsylvania,Take-off run,Small,Unknown bird - small,Day,0,0,0,125
ATLANTA INTL,B-727,None,TRANS WORLD AIRLINES,Georgia,Climb,Medium,Unknown bird - medium,Day,0,0,0,190
NEWARK LIBERTY INTL ARPT,DC-10,None,FEDEX EXPRESS,New Jersey,Landing Roll,Large,Unknown bird - large,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-80,None,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140
KANSAS CITY INTL,B-737-300,None,AMERICA WEST AIRLINES,Missouri,Landing Roll,Medium,Unknown bird - medium,Night,0,0,0,120
ATLANTIC CITY INTL,FOKKER F100,None,US AIRWAYS*,New Jersey,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,
CLEVELAND-HOPKINS INTL ARPT,MD-80,Minor,AMERICAN AIRLINES,Ohio,Climb,Small,Unknown bird - small,Day,0,0,0,140
LAMBERT-ST LOUIS INTL,MD-82,Minor,AMERICAN AIRLINES,Missouri,Climb,Small,Unknown bird - small,Day,0,0,0,220
LOUISVILLE INTL ARPT,HAWKER-SDLY HS125,None,BUSINESS,Kentucky,Approach,Small,Unknown bird - small,Day,0,0,0,120
CHICAGO O'HARE INTL ARPT,B-757-200,None,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Day,0,0,0,135
GEORGE BUSH INTERCONTINENTAL,B-727-100,None,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,130
HOUSTON-HOBBY,B-737-300,None,SOUTHWEST AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,120
MINETA SAN JOSE INTL,PA-23-250,None,UNKNOWN,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,100
ATLANTIC CITY INTL,DC-9,None,BUSINESS,New Jersey,Climb,Small,Laughing gull,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-82,None,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,250
PHILADELPHIA INTL,DC-8,None,UNITED AIRLINES,Pennsylvania,Approach,Large,Canada goose,Day,0,0,0,130
HOUSTON-HOBBY,MD-80,None,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,128
HOUSTON-HOBBY,ATR-42,None,CONTINENTAL AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,120
CHICAGO O'HARE INTL ARPT,B-757-200,None,AMERICAN AIRLINES,Illinois,Approach,Small,Rock pigeon,Day,0,0,0,125
PHILADELPHIA INTL,B-757-200,None,AMERICAN AIRLINES,Pennsylvania,Approach,Small,Unknown bird - small,Night,0,0,0,170
JOHN F KENNEDY INTL,B-747-1/200,Medium,TRANS WORLD AIRLINES,New York,Approach,Medium,Herring gull,Day,0,0,0,
HOUSTON-HOBBY,B-737-500,None,SOUTHWEST AIRLINES,Texas,Take-off run,Small,Unknown bird - small,Day,0,0,0,110
DALLAS/FORT WORTH INTL ARPT,MD-80,None,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,210
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,165
CHICAGO O'HARE INTL ARPT,MD-80,None,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Night,0,0,0,250
NASHVILLE INTL,MD-80,None,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,132
BALTIMORE WASH INTL,FOKKER F28 MK 1000,None,US AIRWAYS*,Maryland,Landing Roll,Small,Unknown bird - small,Day,0,0,0,80
NASHVILLE INTL,MD-80,None,AMERICAN AIRLINES,Tennessee,Landing Roll,Small,Unknown bird - small,Day,0,0,0,130
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,165
DALLAS/FORT WORTH INTL ARPT,MD-80,None,AMERICAN AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,122
HOUSTON-HOBBY,B-737-200,None,SOUTHWEST AIRLINES,Texas,Take-off run,Small,Unknown bird - small,Day,0,0,0,100
LOS ANGELES INTL,B-737-300,None,SOUTHWEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,165
DALLAS/FORT WORTH INTL ARPT,MD-80,None,AMERICAN AIRLINES,Texas,Approach,Small,Horned lark,Day,0,0,0,132
LOS ANGELES INTL,PA-31 NAVAJO,None,BUSINESS,California,Landing Roll,Small,Rock pigeon,Day,0,0,0,100
LOS ANGELES INTL,L-1011,Minor,HAWAIIAN AIR,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,180
PHOENIX SKY HARBOR,B-727,None,AMERICAN AIRLINES,Arizona,Climb,Medium,Unknown bird - medium,Day,0,0,0,200
LOS ANGELES INTL,L-1011,None,HAWAIIAN AIR,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,
TETERBORO AIRPORT,IAI ASTRA JT,None,UNKNOWN,New Jersey,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,
SALT LAKE CITY INTL,MD-87,None,AMERICAN AIRLINES,Utah,Climb,Small,Unknown bird - small,Day,0,0,0,150
NASHVILLE INTL,DC-9-30,Minor,US AIRWAYS*,Tennessee,Approach,Medium,Unknown bird - medium,Day,0,0,0,210
JOHN F KENNEDY INTL,DC-10-10,None,AMERICAN AIRLINES,New York,Approach,Small,American robin,Day,0,0,0,160
CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F28 MK 4000,None,US AIRWAYS*,North Carolina,Approach,Small,Rock pigeon,Day,0,0,0,130
NASHVILLE INTL,MD-82,None,AMERICAN AIRLINES,Tennessee,Take-off run,Small,Unknown bird - small,Day,0,0,0,160
BARKSDALE AIR FORCE BASE ARPT,B-52G,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,145
CHICAGO O'HARE INTL ARPT,MD-80,None,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Night,0,0,0,170
NASHVILLE INTL,B-737-200,Substantial,SOUTHWEST AIRLINES,Tennessee,Approach,Medium,Unknown bird - medium,Day,0,0,0,210
MINNEAPOLIS-ST PAUL INTL,C-9,None,MILITARY,Minnesota,Landing Roll,Medium,Unknown bird or bat,Day,0,0,0,123
WILL ROGERS WORLD ARPT,MD-80,None,AMERICAN AIRLINES,Oklahoma,Climb,Medium,Unknown bird - medium,Day,0,0,0,250
